         3339922 function calls (3289371 primitive calls) in 34.692 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:1135(ResourceManager)
        1    0.000    0.000    0.000    0.000 __init__.py:1139(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:116(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1194(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:12(<listcomp>)
        2    0.000    0.000    0.000    0.000 __init__.py:120(DistutilsLoader)
        1    0.000    0.000    0.000    0.000 __init__.py:1200(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:121(create_module)
        1    0.000    0.000    0.000    0.000 __init__.py:1218(PlaceHolder)
        1    0.000    0.000    0.000    0.000 __init__.py:122(EmptyDataError)
       14    0.000    0.000    0.000    0.000 __init__.py:1224(__init__)
       19    0.000    0.000    0.000    0.000 __init__.py:1230(append)
        2    0.000    0.000    0.000    0.000 __init__.py:125(exec_module)
        1    0.000    0.000    0.000    0.000 __init__.py:1260(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1265(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1271(<listcomp>)
        6    0.000    0.000    0.000    0.000 __init__.py:1276(disable)
        2    0.000    0.000    0.000    0.000 __init__.py:128(DeprecatedTuple)
        1    0.000    0.000    0.000    0.000 __init__.py:128(ParserWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:1280(disable)
        1    0.000    0.000    0.000    0.000 __init__.py:1282(Popen)
       52    0.000    0.000    0.001    0.000 __init__.py:1284(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:129(InvalidVersion)
        3    0.000    0.000    0.068    0.023 __init__.py:13(<module>)
        7    0.000    0.000    0.000    0.000 __init__.py:130(timezone)
        1    0.000    0.000    0.000    0.000 __init__.py:131(invoke_initializers)
        1    0.000    0.000    0.000    0.000 __init__.py:132(<listcomp>)
        2    0.000    0.000    0.000    0.000 __init__.py:132(is_cpython)
      283    0.000    0.000    0.001    0.000 __init__.py:1328(safe_name)
       51    0.000    0.000    0.000    0.000 __init__.py:1335(_fixupParents)
      300    0.001    0.000    0.007    0.000 __init__.py:1336(safe_version)
        4    0.000    0.000    0.000    0.000 __init__.py:134(_declare_state)
        1    0.000    0.000    0.000    0.000 __init__.py:135(_BaseVersion)
        2    0.000    0.000    0.000    0.000 __init__.py:1359(_fixupChildren)
        1    0.000    0.000    0.000    0.000 __init__.py:136(FastLookup)
        1    0.000    0.000    0.000    0.000 __init__.py:1389(Logger)
        1    0.000    0.000    0.000    0.000 __init__.py:1394(NullProvider)
        1    0.000    0.000    0.106    0.106 __init__.py:14(<module>)
       52    0.000    0.000    0.000    0.000 __init__.py:1404(__init__)
      184    0.000    0.000    0.002    0.000 __init__.py:1417(_get_metadata_path)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
      161    0.000    0.000    0.003    0.000 __init__.py:1420(has_metadata)
     1418    0.001    0.000    0.001    0.000 __init__.py:1424(debug)
       23    0.000    0.000    0.001    0.000 __init__.py:1427(get_metadata)
        1    0.000    0.000    0.000    0.000 __init__.py:1436(info)
       12    0.000    0.000    0.000    0.000 __init__.py:144(__lt__)
       23    0.000    0.000    0.002    0.000 __init__.py:1440(get_metadata_lines)
      184    0.000    0.000    0.002    0.000 __init__.py:1496(_fn)
        2    0.000    0.000    0.002    0.001 __init__.py:15(<module>)
      184    0.000    0.000    0.001    0.000 __init__.py:1502(_validate_resource_path)
      608    0.001    0.000    0.002    0.000 __init__.py:152(align_method_SERIES)
        1    0.000    0.000    0.000    0.000 __init__.py:154(EntryPoint)
        1    0.000    0.000    0.000    0.000 __init__.py:154(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:155(EntryPoint)
        1    0.000    0.000    0.000    0.000 __init__.py:155(Path)
        2    0.000    0.000    0.000    0.000 __init__.py:1590(cpu_times)
        1    0.000    0.000    0.000    0.000 __init__.py:1599(EggProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:16(IntCastingNaNError)
       22    0.000    0.000    0.000    0.000 __init__.py:16(search_path)
        3    0.000    0.000    0.000    0.000 __init__.py:1601(addHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1619(DefaultProvider)
        3    0.000    0.000    0.000    0.000 __init__.py:162(__ge__)
      161    0.000    0.000    0.001    0.000 __init__.py:1622(_has)
        1    0.000    0.000    0.000    0.000 __init__.py:163(c_short)
       23    0.000    0.000    0.001    0.000 __init__.py:1634(_get)
